Ancestors,Latitude,Longitude
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y167773>J-Y33339>J-S695>J-Y33340>J-Y93016,40.95780000,47.7784000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y167773>J-Y33339>J-S695>J-Y33340>J-Y93016,39.70270000,46.6580000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Y136727>J-BY56527>J-BY56527*,47.96820000,0.1706790
J1>J-Z2215>J-Z2217>J-CTS1026>J-Y136727>J-Y180350,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Y31163,49.14260000,21.2037000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Y31163,49.14260000,21.2037000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-BY94*,35.89520000,14.4524000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS10767>J-ZS10767*,51.61460000,7.6570800
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS10767>J-ZS10780,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS10767>J-ZS10780,50.60980000,8.9587300
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3178>J-FT60853>J-FT60853*,60.11340000,6.8965700
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3178>J-FT60853>J-GG074>J-FGC31593>J-FGC31593*,45.68660000,13.7799000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3178>J-FT60853>J-GG074>J-FGC31593>J-FGC31593*,49.00560000,11.3966000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3178>J-FT60853>J-GG074>J-FGC31593>J-Y5156,25.26860000,51.5282000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3178>J-FT60853>J-GG074>J-FGC31593>J-Y5156,25.26860000,51.5282000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3128>J-Y298606,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3128>J-ZS3127,53.82410000,30.4041000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3128>J-ZS3127,49.69780000,33.7723000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3128>J-Y81244>J-Y81244*,58.87350000,56.5878000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3128>J-Y81244>J-Y44223,48.61790000,7.5662800
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3128>J-Y81244>J-Y44223,49.00560000,11.3966000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3128>J-Y177580>J-ZS6913>J-FT111097,51.73580000,36.2921000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Z18463>J-Z18471>J-BY94>J-ZS3128>J-Y177580>J-ZS6913>J-Y63446>J-Y63446*,40.61380000,20.6648000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Y4401*,19.34840000,42.9503000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3114*,42.36000000,47.1424000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3114*,42.36000000,47.1424000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-Y33967>J-Y33967*,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-Y33967>J-Y102610,40.27800000,45.3848000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-Y33967>J-Y102610,40.27800000,45.3848000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-Y33967>J-Y60194>J-Y179558>J-Y180134,37.88900000,13.5583000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-Y39893>J-Y39893*,41.40050000,48.1944000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-Y39893>J-ZS3067>J-ZS3067*,51.73580000,36.2921000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-Y39893>J-ZS3067>J-ZS3085,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-Y39893>J-ZS3067>J-ZS3085,,
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y271395>J-Y271395*,40.95780000,47.7784000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y271395>J-Y271394,37.31200000,55.0042000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y251624,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y251624,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y251624,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-FT63629>J-FT63629*,43.37570000,43.3982000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-FT63629>J-Y321933>J-Y321933*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-FT63629>J-Y321933>J-Y461639,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-FT63629>J-Y321933>J-Y461639,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-FT63629>J-Y321933>J-Y461639,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-Y237814>J-Y237814*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-Y237814>J-Y237814*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-Y237814>J-Y330733>J-Y330733*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-Y237814>J-Y330733>J-FTD91894,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-ZS3084>J-BY152351>J-Y151297>J-Y151309>J-Y237814>J-Y330733>J-FTD91894,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-FGC68039,35.07360000,40.2750000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-FGC68039,35.85280000,36.6829000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FTB57494,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FTB57494,42.36000000,47.1424000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-Y322931,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-Y322931,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FGC45614>J-FGC45614*,41.56660000,46.6540000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FGC45614>J-ZS11222,39.24790000,46.1518000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-Y36145>J-Y36145*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-Y36145>J-Y81379>J-Y81379*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-Y36145>J-Y81379>J-Y81379*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-Y36145>J-Y81379>J-FT260795,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-Y36145>J-Y81379>J-FT260795,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-Y36145>J-Y81379>J-Y86486,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-Y36145>J-Y81379>J-Y86486,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-Y206934>J-Y206934*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-Y206934>J-Y206924,42.36000000,47.1424000
